"topic","term","beta"
1,"sam",0.00703781078457863
1,"time",0.00585856016287276
1,"sir",0.00519439636737186
1,"girl",0.00458628893193168
1,"mind",0.00332883620184079
1,"looked",0.00330970202993156
1,"george",0.0032332097718806
1,"miss",0.00298749345963561
1,"moment",0.00298624957603011
1,"eustace",0.00298557201528741
1,"eyes",0.00292955992232393
1,"bennett",0.0029095064862355
1,"hignett",0.00277639181039466
1,"door",0.00275790104963919
1,"billie",0.00275737542813168
1,"voice",0.00264402682627585
1,"life",0.00264375537220312
1,"day",0.00254884842815094
1,"sort",0.00247273575481799
1,"morning",0.00243476219522464
2,"ashe",0.00769058425291175
2,"peters",0.0061612067026168
2,"time",0.00556892336681071
2,"freddie",0.00445704314657386
2,"door",0.0043702839927482
2,"baxter",0.00423856063938886
2,"night",0.0037939887642479
2,"mind",0.00362967134147049
2,"ford",0.0035908652030049
2,"life",0.00355054608425062
2,"sam",0.00349084320311519
2,"house",0.00344199529325081
2,"moment",0.00342726994155312
2,"lord",0.00342314530942405
2,"looked",0.00321093772381451
2,"joan",0.0030806033513084
2,"aline",0.00294951384699741
2,"eyes",0.0028620494730393
2,"emsworth",0.00264363833693842
2,"boy",0.00246162592714692
3,"jimmy",0.011971448634003
3,"lord",0.00912180094524883
3,"pett",0.00823456653703388
3,"george",0.0074497555736686
3,"crocker",0.00678009146935126
3,"ann",0.00633256067929507
3,"maud",0.00528971913288508
3,"time",0.00499075566471299
3,"ogden",0.00350794797906154
3,"moment",0.00334458443248433
3,"looked",0.00333224757147792
3,"door",0.00327918860183764
3,"mind",0.0030762308445673
3,"life",0.00292549067489089
3,"house",0.00292453780498361
3,"miss",0.00282971870148905
3,"percy",0.00276736482528953
3,"wisbeach",0.00272993781934275
3,"boy",0.00262478548327921
3,"morning",0.00254645425852408
4,"jimmy",0.0138175518840702
4,"lord",0.00674426144338821
4,"bill",0.00581651810178625
4,"time",0.00579516051465749
4,"spike",0.00552251258009331
4,"claire",0.00468850047616085
4,"pickering",0.00446309179942235
4,"sir",0.00428622611804035
4,"elizabeth",0.00426511300820836
4,"lady",0.00408336471255441
4,"nutty",0.00405735618129304
4,"dreever",0.00396719271059764
4,"night",0.00387832582214447
4,"looked",0.00376570345209865
4,"moment",0.00372044712823097
4,"thomas",0.00371924316618529
4,"mind",0.00358548537365084
4,"mceachern",0.00352196073750559
4,"wetherby",0.00342621188642524
4,"money",0.00333777412083975
5,"archie",0.0226660787828971
5,"reggie",0.0064640592175906
5,"brewster",0.00526585668693569
5,"time",0.00492454252953855
5,"girl",0.00450964430542606
5,"lucille",0.00437867431033239
5,"father",0.00406159109995411
5,"sort",0.00405804505605899
5,"bill",0.00387438478902753
5,"george",0.00360805445148816
5,"eyes",0.00329495071311261
5,"looked",0.00323728679424898
5,"day",0.00320502840392148
5,"bit",0.00313925568935122
5,"absolutely",0.00307696356513837
5,"moment",0.00305261231706247
5,"dear",0.00304436172112067
5,"matter",0.00293416434664779
5,"hotel",0.00288551359758592
5,"mind",0.00273004046533378
6,"psmith",0.0164000598747969
6,"comrade",0.0133866858443498
6,"mike",0.00838265866651645
6,"ukridge",0.00557017623809917
6,"time",0.00543913366000592
6,"windsor",0.00431003800718493
6,"billy",0.00381694043856631
6,"bickersdyke",0.00376215181983091
6,"jackson",0.0033421057428595
6,"moment",0.00321263945551212
6,"day",0.00277476200206519
6,"life",0.00262875050255073
6,"round",0.00257423320874967
6,"looked",0.00257313038736927
6,"sir",0.00255118970659888
6,"matter",0.00251927060167193
6,"paper",0.00248372908018759
6,"bank",0.0024472096568481
6,"hand",0.00242818091537352
6,"kid",0.00235591060562227
